Word: all, Count: 4
Word: almost, Count: 1
Word: alone, Count: 3
Word: along, Count: 1
Word: always, Count: 2
Word: and, Count: 14
Word: apart, Count: 3
Word: are, Count: 7
Word: away, Count: 4
Word: band, Count: 1
Word: bed, Count: 1
Word: but, Count: 3
Word: came, Count: 1
Word: chance, Count: 1
Word: cried, Count: 3
Word: cry, Count: 1
Word: dad, Count: 2
Word: daddy, Count: 6
Word: dance, Count: 1
Word: danced, Count: 1
Word: daughter, Count: 6
Word: day, Count: 3
Word: dry, Count: 1
Word: dying, Count: 1
Word: ear, Count: 1
Word: eyes, Count: 1
Word: father, Count: 2
Word: fight, Count: 1
Word: fine, Count: 1
Word: first, Count: 1
Word: for, Count: 1
Word: front, Count: 1
Word: girl, Count: 2
Word: had, Count: 1
Word: hand, Count: 2
Word: hate, Count: 1
Word: have, Count: 5
Word: head, Count: 1
Word: heart, Count: 3
Word: held, Count: 2
Word: her, Count: 8
Word: here, Count: 3
Word: hide, Count: 1
Word: him, Count: 2
Word: his, Count: 8
Word: hospital, Count: 1
Word: into, Count: 1
Word: just, Count: 1
Word: kissed, Count: 1
Word: later, Count: 1
Word: leaned, Count: 1
Word: leave, Count: 3
Word: led, Count: 1
Word: little, Count: 5
Word: looked, Count: 2
Word: love, Count: 2
Word: loving, Count: 1
Word: memories, Count: 2
Word: might, Count: 1
Word: mine, Count: 1
Word: miss, Count: 3
Word: need, Count: 3
Word: next, Count: 1
Word: night, Count: 1
Word: not, Count: 6
Word: okay, Count: 1
Word: our, Count: 2
Word: play, Count: 1
Word: please, Count: 3
Word: proud, Count: 1
Word: quiet, Count: 2
Word: room, Count: 1
Word: sad, Count: 2
Word: said, Count: 1
Word: sat, Count: 4
Word: saw, Count: 2
Word: school, Count: 3
Word: she, Count: 7
Word: song, Count: 1
Word: started, Count: 1
Word: stay, Count: 4
Word: still, Count: 1
Word: strength, Count: 1
Word: tear, Count: 1
Word: tears, Count: 1
Word: that, Count: 2
Word: the, Count: 5
Word: their, Count: 1
Word: then, Count: 4
Word: there, Count: 1
Word: they, Count: 2
Word: though, Count: 3
Word: tight, Count: 1
Word: together, Count: 5
Word: took, Count: 1
Word: tried, Count: 1
Word: very, Count: 1
Word: waiting, Count: 1
Word: walked, Count: 3
Word: want, Count: 1
Word: was, Count: 2
Word: watched, Count: 1
Word: way, Count: 1
Word: wedding, Count: 1
Word: when, Count: 3
Word: whispered, Count: 1
Word: will, Count: 8
Word: wished, Count: 1
Word: with, Count: 1
Word: you, Count: 16
Word: your, Count: 3
